Reference,Value,Footprint,Count,Datasheet,Note
U10;U11,74LVC07A,Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm,2,,
P20,D10,"RAMPS-FD v3:2p-conn-5,08",1,,
P18,D9,"RAMPS-FD v3:2p-conn-5,08",1,,
P19,D8,"RAMPS-FD v3:2p-conn-5,08",1,,
P21,D11,"RAMPS-FD v3:2p-conn-5,08",1,,
D9;D6;D10;D5;D13;D14,LED RED,LEDs:LED_0805,6,,
R27;R24;R28;R23;R31;R32;R40;R39;R37;R36;R35;R34;R33;R43,1k,Resistors_SMD:R_0805,14,,
Q4;Q2;Q3;Q5,IRFR8314TRPBF,TO_SOT_Packages_SMD:TO-252-2Lead_GDS,4,,
R21;R22;R26;R25;R30;R29,220R,Resistors_SMD:R_0805,6,,
RP6;RP7,10k,Resistors_SMD:R_Cat16-4,2,,
JP5,JUMP_MINI,Pin_Headers:Pin_Header_Straight_1x02,1,,
P23,CONN_6X2,Pin_Headers:Pin_Header_Straight_2x06,1,,
P22,CONN_6,Pin_Headers:Pin_Header_Straight_1x06,1,,
Q6;Q7,DMN2075U,TO_SOT_Packages_SMD:SOT-23_GDS,2,,
P24,D12,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,1,,
P25,D2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,1,,
R38,1K,Resistors_SMD:R_0805,1,,
C44;C43;C42;C41,10u,Capacitors_SMD:C_0805,4,,
P26,CONN_4X2,Pin_Headers:Pin_Header_Straight_2x04,1,,
R41,10k,Resistors_SMD:R_0805,1,,
R42,1k5,Resistors_SMD:R_0805,1,,
C45,10u,Capacitors_SMD:c_elec_4x5.3,1,,
U12,TL431_SOT23_RMC,TO_SOT_Packages_SMD:SOT-23,1,,
P28,Z-MOT1,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,1,,
P27,Y-MOT,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,1,,
P29,X-MOT,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,1,,
WXD8,XD1,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
WXD7,XD0,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
WYD2,YD1,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
WYD1,YD0,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
WzD1,ZD1,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
WZd0,ZD0,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
W6,X_REF,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
W4,Y_REF,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
W5,Z_REF,Wire_Pads:SolderWirePad_single_0-8mmDrill,1,,
P30,Z-MOT2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight,1,,
P36,X_SPRD_En,Pin_Headers:Pin_Header_Straight_1x02,1,,
P34,Y_SPRD_En,Pin_Headers:Pin_Header_Straight_1x02,1,,
P35,Z_SPRD_En,Pin_Headers:Pin_Header_Straight_1x02,1,,
